office_name,latitude,longitude,staff
Abu Dhabi,24.464778,54.361781,11
Abuja,9.05735,7.48976,1
Adelaide,-34.92866,138.59863,43
Amsterdam,52.37403,4.88969,219
Ankara,39.91987,32.85427,4
Auckland,-36.86667,174.76667,57
Bangalore,12.97194,77.59369,1
Bangkok,13.721964,100.525248,13
Beijing,39.9075,116.39723,97
Belfast,54.594668,-5.929812,83
Belgrade,44.817649,20.463309,19
Berlin,52.52437,13.41053,162
Bogota,4.60971,-74.08175,18
Boston,42.347919,-71.06453,75
Brisbane,-27.46794,153.02809,381
Bristol,51.4552,-2.5966,333
Cairns,-16.9186,145.7781,14
Canberra,-35.28346,149.12807,13
Cape Town,-33.92584,18.42322,26
Cardiff,51.48,-3.18,395
Chicago,41.85003,-87.65005,45
Chongqing,29.56278,106.55278,38
Copenhagen,55.67594,12.56553,48
Cork,51.8969,8.4863,171
Delhi,28.66667,77.21667,1
Doha,25.2854,51.531,14
Dubai,25.272061,55.311265,97
Dublin,53.33306,-6.24889,383
Durban,-29.8579,31.0292,32
Dusseldorf,51.2277,6.7735,20
Edinburgh,55.9521,-3.1965,141
Frankfurt,50.11667,8.68333,60
Gaborone,-24.6282,25.9231,1
Galway,53.2707,-9.0568,25
Glasgow,55.86515,-4.25763,120
Gold Coast,-28.00029,153.43088,6
Groningen,53.2194,6.5665,79
Guangzhou,23.125457,113.257374,42
Harare,-17.82935,31.05389,47
Ho Chi Minh City,10.75,106.66667,54
Hong Kong,22.279588,114.188697,1183
Houston,29.7601927,-95.3693896,47
Hyderabad,17.37528,78.47444,51
Istanbul,41.0138,28.9497,167
Jakarta,-6.211831,106.841646,6
Johannesburg,-26.20227,28.04363,208
Krakow,50.066777,19.942468,96
Kuala Lumpur,3.1412,101.68653,77
Lagos,6.45306,3.39583,113
Leeds,53.8008,-1.5491,316
Limerick,52.6668,-8.6305,24
Liverpool,53.4084,2.9916,55
London,51.50853,-0.12574,2713
Los Angeles,34.031656,-118.241716,238
Macau,22.20056,113.54611,23
Madrid,40.4165,-3.70256,165
Manchester,53.48095,-2.23743,317
Manila,14.6042,120.9822,85
Maroochydore,-26.65,153.1,3
Mauritius,-20.3484,57.5522,106
Melbourne,-37.814,144.96332,394
Mexico City,19.4326,-99.1332,1
Midlands Campus,52.4814,-1.8998,761
Milan,45.55307,9.18344,108
Montreal,45.50884,-73.58781,33
Moscow,55.754996,37.621849,38
Mumbai,19.073975,72.880838,27
Nairobi,-1.28333,36.81667,1
New Jersey,,,51
New York,40.717042,-74.003663,528
Newcastle,54.97328,-1.61396,289
Nottingham,52.9536,-1.15047,78
Oakland,,,47
Penang,5.4163,100.3328,90
Perth,-31.947841,115.852514,138
Phnom Penh,11.56245,104.91601,2
Sabah,5.9788,116.0753,1
San Francisco,37.759881,-122.437392,324
Sao Paulo,-23.5475,-46.63611,6
Seattle,47.626353,-122.333144,66
Seoul,37.56826,126.97783,2
Shanghai,31.22222,121.45806,241
Sheffield,53.38297,-1.4659,130
Shenzhen,22.541487,114.063427,181
Singapore,1.28967,103.85007,380
Sydney,-33.86785,151.20732,681
Taipei,25.047009,121.54568,34
Tokyo,35.6895,139.69171,91
Toronto,43.70011,-79.4163,224
Townsville,-19.259,146.8169,12
Warsaw,52.22977,21.01178,127
Washington DC,38.89511,-77.03637,38
Winchester,51.0598,-1.3101,34
Wroclaw,51.1,17.03333,11
Wuhan,30.58333,114.26667,10
York,53.96,-1.0873,32
